royal_id,royal_name,code,sibling_id,sibling_name
5017,"Royal TK 130 Black Toner Cartridge",TK-130,4223,"Kyocera TK-130 Toner Cartridge"
5016,"Royal TK 170 Black Toner Cartridge",TK-170,,""
5050,"Royal TK 3060 Black Toner Cartridge",TK-3060,4268,"Kyocera TK-3060 Toner Cartridge"
5049,"Royal TK 3060 Compatible Black Toner Cartridge",TK-3060,4268,"Kyocera TK-3060 Toner Cartridge"
5015,"Royal TK 3100 Black Compatible Toner Cartridge",TK-3100,,""
5014,"Royal TK 3130 Compatible Black Toner Cartridge",TK-3130,4214,"Kyocera TK-3130 Toner Cartridge"
5379,"Royal TK 3150 Black Toner Cartridge",TK-3150,,""
5378,"Royal TK 3150 Compatible Black Toner Cartridge",TK-3150,,""
5013,"Royal TK 3300Black Toner Cartridge",TK-3300,,""
5396,"Royal TK 340 Black Toner Laser Cartridge",TK-340,4262,"Kyocera TK-340 Toner Cartridge"
5377,"Royal TK 410 Compatible Black Toner Cartridge",TK-410,4838,"Kyocera TK-410 Toner Cartridge"
5012,"Royal TK 410/435 Black Toner Cartridge",TK-410,4838,"Kyocera TK-410 Toner Cartridge"
5375,"Royal TK 4105 Compatible Black Toner Cartridge",TK-4105,,""
5011,"Royal TK 4145 Compatible Black Toner Cartridge",TK-4145,,""
5009,"Royal TK 4175 Black Compatible Toner",TK-4175,4726,"Kyocera TK-4175 Toner Cartridge"
5008,"Royal TK 435 Black Toner Cartridge",TK-435,,""
5007,"Royal TK 435 Compatible Black Toner Cartridge",TK-435,,""
5006,"Royal TK 475 Black Toner Cartridge",TK-475,4211,"Kyocera TK-475 Toner Cartridge"
5005,"Royal TK 475 Compatible Black Toner Cartridge",TK-475,4211,"Kyocera TK-475 Toner Cartridge"
5004,"Royal TK 5135 Toners Cymk Cartridges Each",TK-5135,,""
5003,"Royal TK 5140 Toner Cartridge Each",TK-5140,,""
5048,"Royal TK 5150 Compatible Toner Cartridge Each",TK-5150,4265,"Kyocera TK-5150 Toner Cartridge"
5374,"Royal TK 5230 Colors Cym Compatible Toners Each",TK-5230,,""
5395,"Royal TK 5230 Genuine Toner Cartridge Each",TK-5230,,""
5373,"Royal TK 5230K Compatible Black Toner",TK-5230K,,""
5002,"Royal TK 5240 Genuine Toner Cartridges Each",TK-5240,4286,"Kyocera TK-5240 Toner Cartridge"
5372,"Royal TK 5270 Black Toner Cartridge",TK-5270,4292,"Kyocera TK-5270 Toner Cartridge"
5371,"Royal TK 5270 Cmy Toner Cartridge Each",TK-5270,4292,"Kyocera TK-5270 Toner Cartridge"
5370,"Royal TK 5270 Compatible Black Toner Cartridge Each",TK-5270,4292,"Kyocera TK-5270 Toner Cartridge"
5369,"Royal TK 5280 Black Toner Cartridge",TK-5280,4295,"Kyocera TK-5280 Toner Cartridge"
5368,"Royal TK 5280 Compatible Toner Each",TK-5280,4295,"Kyocera TK-5280 Toner Cartridge"
5367,"Royal TK 5280 Cym Color Toner Each",TK-5280,4295,"Kyocera TK-5280 Toner Cartridge"
5001,"Royal TK 5370 Black Toner Cartridge",TK-5370,,""
5000,"Royal TK 5370 Compatible Toner Cartridge",TK-5370,,""
4999,"Royal TK 5370 Cym Toner Cartridge Each",TK-5370,,""
5394,"Royal TK 590 Compatible Toner Cartridges Each",TK-590,4301,"Kyocera TK-590 Toner Cartridge"
4998,"Royal TK 590 Toner Cartridges Each",TK-590,4301,"Kyocera TK-590 Toner Cartridge"
5365,"Royal TK 6115 Compatible Black Toner Cartridge",TK-6115,4229,"Kyocera TK-6115 Toner Cartridge"
5047,"Royal TK 6305 Black Toner Cartridge",TK-6305,,""
5046,"Royal TK 6305 Compatible Black Toner Cartridge",TK-6305,,""
5364,"Royal TK 6325 Toner Taskalfa 4002I 5002I 5003I 6002I",TK-6325,4729,"Kyocera TK-6325 Toner Cartridge"
4997,"Royal TK 6345 Black Toner",TK-6345,,""
5045,"Royal TK 6705 Black Toner Cartridge",TK-6705,,""
4996,"Royal TK 6725 Toner Cartridge",TK-6725,,""
4995,"Royal TK 675 Black Toner Cartridge",TK-675,4226,"Kyocera TK-675 Toner Cartridge"
5044,"Royal TK 675 Compatible Black Toner Cartridge",TK-675,4226,"Kyocera TK-675 Toner Cartridge"
5043,"Royal TK 685 Black Toner Cartridge",TK-685,,""
5362,"Royal TK 7105 Compatible Black Toner Cartridge",TK-7105,4259,"Kyocera TK-7105 Toner Cartridge"
