"id","name","image_url"
"5524","Canon PGI-2400XL Magenta Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-PGI-2400XL-Magenta-Ink-Cartridge.webp"
"5523","Canon PGI-2400XL Yellow Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-PGI-2400XL-Yellow-Ink-Cartridge.webp"
"5522","Canon PGI-35 Black Ink Original Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-PGI-35-Black.png"
"4341","Canon Pixma CL-411 Color Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-Pixma-CL-411-Color-Ink.png"
"4347","Canon Pixma CL-446 Color Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-Pixma-CL-446-Cartridge.png"
"4334","Canon Pixma CL-511 Color Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-CL-511-Ink-Cartridge.png"
"4353","Canon Pixma CL-56 Color Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-Pixma-CL-56-Color-Cartridge.png"
"4461","Canon Pixma G3420 Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-PIXMA-G3420.png"
"4464","Canon Pixma G3430 Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-PIXMA-G3430.png"
"4467","Canon Pixma G640 Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-PIXMA-G640.png"
"4458","Canon Pixma MG2550S Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-PIXMA-MG2550S.png"
"4337","Canon Pixma PG-440 Black Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-Pixma-PG-440-Black-Ink.png"
"4344","Canon Pixma PG-445 Black Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-Pixma-PG-445-Ink.png"
"4350","Canon Pixma PG-46 Black Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-Pixma-PG-46-Cartridge.png"
"4329","Canon Pixma PG-510 Black Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-PG-510-Black-Ink.png"
"4455","Canon Pixma TS3340 Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-PIXMA-TS3340.png"
"5286","Canon Premium Comp 490 Ink CMYK","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-Premium-Comp-490-Ink-CMYK.webp"
"4356","Canon Print Head BH-4 Black","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-Print-Head-BH-4.png"
"5521","Canon Ts 3340","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-Ts-3340.webp"
"5507","ROYAL Canon C-EXV29 Toner Value Each B/Cm/Y","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-C-EXV29-Toner-Value-Each-BCmY.webp"
"3511","Dell S2721HL 27-INCH Full Hd 8MS LCD Monitor","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/Dell-S2721HL-27-inch-Monitor.png"
"3485","Dell Vostro 3400 Core I3 4GB/1TB/14in Laptop","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/Dell-Vostro-3400-laptop.png"
"3482","Dell Vostro 3400 Core I5 4GB/1TB/14in Laptop","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/Dell-Vostro-3400-laptop.png"
